id,es,en
LM1,"La estación  B12 estaba en un estado de descomposición maloliente, era como si el demonio la hubiera usado de retrete y la tripulación no hubiera tenido el suficiente estómago para aguantar … un mensaje : “Danos tus sueños y suspira tres veces”
Eran las mismas palabras que ella dijo antes de desaparecer.",
LM2,"Parece que alguien está dedicando su tiempo en el noble arte del adoctrinamiento y vaciado de cuerpos. Restos de personas, como pellejos, tal vez se parezcan más a mi ahora que cuando vivían.",
LM3,"Locos de un Dios maldito, aguardando a su señor, necesitaban de sus órdenes para continuar ,  es el  pútrido aire que necesitan sus pulmones. 
Locos de Ancestros arcanos, locos de marcas y economía … la única diferencia, me recuerdan a ella... me recuerdan a ellos.",
LM4,"Llamadme loco, no estaríais muy desencaminados,  juraría que los esbirros del Dios arcano, el que te roba los sueños mientras suspiras tres veces, me dejan huellas para que les encuentre… podría ser ella deseando que los salve, que me salve.
Buscaré el siguiente despojo infectada por ellos y tal vez los encuentre antes del fin de mi deriva.
",
LM5,"EL olor a muerte ya no es intuido, adoradores de ancianas tecnologías. Hijos de la muerte robada. Yo os daré razones de querer morir, flotando en el espacio. Os encontraré.",
LM6,"En esta sórdida oscuridad, tengo ensoñaciones al mirar el horizonte, creo soñar dormido, escuchando tus dulces susurros en mi oído, y me dejo llevar entre corrientes solares.
Puedo escucharte y sentirte lejos y cerca al mismo tiempo.
Estás cerca.",
LM7,"Mentiras tecnologicas de antaño, probablemente te dijeron , te engañaron con una felicidad artificial, de una secta amable, que llenarían nuestros recuerdos, que encontrarías sentido a tu desdicha.",
LM8,"Dame tu alcohol, amanecer. Dame el amargo sentir de que puede ser la última vez que te sienta solo mío, y déjame llevar navegando en el barca de caronte, en esta laguna Estigia.
Soy tu monstruo, soy tu Escila",
LM9,"Danos tus sueños y suspira tres veces, hijos de puta… yo os daré mis sueños, para que os hundáis con ellos, en el negro cienago devastador de mis entrañas. ",
,,
,,
